txn_date,campaignID,promotionName,promotion_type,transaction_rows,unique_users,successful_rows,gross_discount_all_rows,credited_discount_success_only,non_success_discount_amount
2022-06-04,8941,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Tiki_VC_10K@150K",voucher,7,7,4,70000,40000,30000
2022-06-04,8922,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Domino_VC_30K@100K",voucher,1,1,1,30000,30000,0
2022-06-04,8914,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]BigC_VC_30K@600K",voucher,1,1,1,30000,30000,0
2022-06-04,8957,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Fahasa_VC_30K@100K",voucher,1,1,1,30000,30000,0
2022-06-04,8964,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]KFC_VC_30K@100K",voucher,1,1,1,30000,30000,0
2022-06-04,8899,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CGV_VC_10K@200K",voucher,3,3,3,30000,30000,0
2022-06-04,8908,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]FUTA_VC_20K@200K",voucher,1,1,1,20000,20000,0
2022-06-04,11158,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Data_VC_5K@50K",voucher,4,4,4,20000,20000,0
2022-06-04,8918,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Fahasa_VC_20K@200K",voucher,1,1,1,20000,20000,0
2022-06-04,8952,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]CVS_VC_20K@50K",voucher,1,1,1,20000,20000,0
2022-06-04,11155,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Bảo Hiểm_VC_10K@20K",voucher,1,1,1,10000,10000,0
2022-06-04,9077,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]VMB_VC_100K@3M",voucher,4,1,0,400000,0,400000
2022-06-04,8962,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Lotteria_VC_20K@100K",voucher,2,1,0,40000,0,40000
2022-06-05,9080,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Ref_CB_50K",cashback,947,503,947,47350000,47350000,0
2022-06-05,8932,"[ZPI_220801_115][MAP_RW_NMU][Liên kết ngân hàng, nhận ngay 1M]Điện thoại_VC_10K@20K",voucher,446,420,383,4460000,3830000,630000
